180|832|GUNN|NT
181|832|JOHNSTON|NT
182|832|MITCHELL|NT
183|832|ROSEBERY|NT
184|832|ROSEBERY HEIGHTS|NT
185|832|ZUCCOLI|NT
186|835|COOLALINGA|NT
187|835|HOWARD SPRINGS|NT
188|835|VIRGINIA|NT
189|836|GIRRAWEEN|NT
190|836|HERBERT|NT
191|836|HUMPTY DOO|NT
192|837|MANTON|NT
193|837|NOONAMAH|NT
194|838|BERRY SPRINGS|NT
195|840|DUNDEE BEACH|NT
196|840|DUNDEE DOWNS|NT
197|840|DUNDEE FOREST|NT
198|841|DARWIN RIVER|NT
199|845|BATCHELOR|NT
200|846|ADELAIDE RIVER|NT
201|847|PINE CREEK|NT
202|850|COSSACK|NT
203|850|EMUNGALAN|NT
204|850|KATHERINE|NT
205|850|KATHERINE EAST|NT
206|850|KATHERINE SOUTH|NT
207|850|LANSDOWNE|NT
208|851|KATHERINE|NT
209|852|ARNOLD|NT
210|852|BAINES|NT
211|852|BARUNGA|NT
212|852|BESWICK|NT
213|852|BESWICK CREEK|NT
214|852|BINJARI|NT
215|852|BIRDUM|NT
216|852|BRADSHAW|NT
217|852|BUCHANAN|NT
218|852|BULMAN WEEMOL|NT
219|852|CRESWELL|NT
220|852|DAGURAGU|NT
221|852|DALY WATERS|NT
222|852|DELAMERE|NT
223|852|DUNMARRA|NT
224|852|EDITH|NT
225|852|ELSEY|NT
226|852|ELSEY STATION|NT
227|852|FLORINA|NT
228|852|FLYING FOX|NT
229|852|GREGORY|NT
230|852|GULUNG MARDRULK|NT
231|852|GURINDJI|NT
232|852|JILKMINGGAN|NT
233|852|KALKARINDJI|NT
234|852|KATHERINE|NT
235|852|LAJAMANU|NT
236|852|LARRIMAH|NT
237|852|LIMMEN|NT
238|852|MANBULLOO|NT
239|852|MARANBOY|NT
240|852|MATARANKA|NT
241|852|MCARTHUR|NT
242|852|MINIYERI|NT
243|852|NGUKURR|NT
244|852|NITMILUK|NT
245|852|NUMBULWAR|NT
246|852|PELLEW ISLANDS|NT
247|852|PIGEON HOLE|NT
248|852|ROBINSON RIVER|NT
249|852|STURT PLATEAU|NT
250|852|TANAMI EAST|NT
251|852|TIMBER CREEK|NT
252|852|TOP SPRINGS|NT
253|852|URALLA|NT
254|852|VENN|NT
255|852|VICTORIA RIVER|NT
256|852|VICTORIA RIVER DOWNS|NT
257|852|WARUMUNGU|NT
258|852|WAVE HILL|NT
259|852|WILTON|NT
260|852|YARRALIN|NT
261|853|TINDAL|NT
262|854|BORROLOOLA|NT
263|854|KING ASH BAY|NT
264|860|TENNANT CREEK|NT
265|861|BRUNCHILLY|NT
266|861|TENNANT CREEK|NT
267|862|AVON DOWNS|NT
268|862|CALVERT|NT
269|862|CRESSWELL DOWNS|NT
270|862|ELLIOTT|NT
271|862|HELEN SPRINGS|NT
272|862|MUCKATY STATION|NT
